                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    189,                0.47113,                0.26748,                 1.0397,                0.94016,                0.92594,                0.95784,                0.73266,                0.84458,                0.37157,                 1.2471,              0.0007435,              0.0007435,              0.0007435
                    190,                0.47632,                  0.278,                 1.0456,                0.93972,                0.92574,                0.95763,                0.73293,                0.84452,                 0.3718,                 1.2473,               0.000694,               0.000694,               0.000694
                    191,                 0.4688,                0.23363,                 1.0265,                0.94081,                0.92508,                0.95756,                0.73277,                0.84457,                0.37143,                 1.2475,              0.0006445,              0.0006445,              0.0006445
                    192,                 0.4621,                0.22608,                 1.0135,                0.94161,                0.92554,                0.95779,                0.73273,                0.84435,                0.37124,                 1.2476,               0.000595,               0.000595,               0.000595
                    193,                0.44986,                0.21742,                 1.0066,                0.94115,                0.92508,                0.95745,                0.73315,                0.84456,                0.37142,                 1.2477,              0.0005455,              0.0005455,              0.0005455
                    194,                0.45188,                0.21893,                 1.0054,                0.94185,                0.92491,                 0.9575,                0.73369,                0.84476,                0.37155,                  1.248,               0.000496,               0.000496,               0.000496
                    195,                0.44346,                 0.2151,                 1.0089,                0.94181,                0.92508,                0.95752,                0.73318,                0.84476,                0.37155,                 1.2482,              0.0004465,              0.0004465,              0.0004465
                    196,                0.45159,                0.21579,                 1.0025,                0.94189,                0.92462,                0.95748,                0.73331,                0.84493,                0.37155,                 1.2483,               0.000397,               0.000397,               0.000397
                    197,                0.44603,                 0.2143,                0.99889,                 0.9422,                0.92508,                0.95746,                 0.7338,                 0.8451,                0.37188,                 1.2485,              0.0003475,              0.0003475,              0.0003475
                    198,                 0.4349,                 0.2098,                0.99779,                0.94228,                0.92478,                0.95749,                0.73307,                 0.8454,                0.37193,                 1.2488,               0.000298,               0.000298,               0.000298
                    199,                0.43012,                0.20797,                0.99689,                0.94431,                0.92175,                0.95751,                0.73392,                0.84547,                0.37202,                 1.2491,              0.0002485,              0.0002485,              0.0002485
                    200,                0.43614,                0.20981,                 1.0031,                0.94392,                0.92188,                0.95748,                  0.734,                0.84565,                0.37223,                 1.2495,               0.000199,               0.000199,               0.000199
